PARAM_NAME,PARAM_VALUE,DESCRIPTION
ATC_RAT_YAW_FLTT,1,Yaw rate filter parameters
ATC_RAT_YAW_FLTD,1,Yaw rate filter parameters
ATC_RAT_YAW_FLTE,1,Yaw rate filter parameters
EK2_ACC_P_NSE,1,EKF2 accelerometer process noise
EK2_ALT_M_NSE,10,EKF2 altitude measurement noise
AHRS_COMP_BETA,0.5,AHRS compass beta parameter
MNT_ANGMAX_ROL,4500,Mount maximum roll angle (centi-degrees)
MNT_ANGMAX_PAN,4500,Mount maximum pan angle (centi-degrees)
MNT_ANGMAX_TIL,4500,Mount maximum tilt angle (centi-degrees)
ANGLE_MAX,1000000000000000,Maximum angle parameter causes arithmetic exception with large values
ANGLE_MAX,-1,Maximum angle parameter causes arithmetic exception with negative values
PSC_ANGLE_MAX,1000000000000000,Position control angle max causes arithmetic exception with large values
PSC_ANGLE_MAX,-1,Position control angle max causes arithmetic exception with negative values
LOIT_ANG_MAX,1000000000000000,Loiter angle max causes arithmetic exception with large values
LOIT_ANG_MAX,-1,Loiter angle max causes arithmetic exception with negative values
ATC_RATE_R_MAX,1000000000000000,Roll rate max causes arithmetic exception with large values
ATC_RATE_R_MAX,-1,Roll rate max causes arithmetic exception with negative values
ATC_RATE_P_MAX,1000000000000000,Pitch rate max causes arithmetic exception with large values
ATC_RATE_P_MAX,-1,Pitch rate max causes arithmetic exception with negative values
ATC_RATE_Y_MAX,1000000000000000,Yaw rate max causes arithmetic exception with large values
ATC_RATE_Y_MAX,-1,Yaw rate max causes arithmetic exception with negative values
ATC_INPUT_TC,1000000000000000,Input time constant makes drone stuck with big values
ATC_INPUT_TC,-1,Input time constant makes drone stuck with negative values
PSC_VELXY_IMAX,1000000000000000,Velocity XY I-term max makes drone unstable with large values
PSC_VELXY_IMAX,-1,Velocity XY I-term max makes drone unstable with negative values
LOIT_SPEED,20,Loiter speed makes drone unstable at value 20
LOIT_SPEED,1000000000000000,Loiter speed makes drone unstable with large values
LOIT_SPEED,-1,Loiter speed makes drone unstable with negative values
SIM_GPS_GLITCH_Y,100,GPS glitch Y causes arithmetic exception
SIM_GPS_GLITCH_Y,1000000000000000,GPS glitch Y causes arithmetic exception with large values
SIM_GPS_GLITCH_Y,-1,GPS glitch Y causes arithmetic exception with negative values
SIM_GPS_GLITCH_X,100,GPS glitch X causes arithmetic exception
SIM_GPS_GLITCH_X,1000000000000000,GPS glitch X causes arithmetic exception with large values
SIM_GPS_GLITCH_X,-1,GPS glitch X causes arithmetic exception with negative values
SIM_ADSB_COUNT,1,ADSB count causes arithmetic exception
SIM_ADSB_COUNT,1000000000000000,ADSB count causes arithmetic exception with large values
SIM_ADSB_COUNT,-1,ADSB count causes arithmetic exception with negative values
GND_TEMP,40,Ground temperature parameter
GND_TEMP,1000000000000000,Ground temperature parameter with large values
GND_TEMP,-1,Ground temperature parameter with negative values
GND_ALT_OFFSET,300,Ground altitude offset parameter
GND_ALT_OFFSET,1000000000000000,Ground altitude offset parameter with large values
GND_ALT_OFFSET,-1,Ground altitude offset parameter with negative values
GPS_POS1_Z,2.474742,GPS position Z offset
GPS_POS1_Z,1000000000000000,GPS position Z offset with large values
GPS_POS1_Z,-1,GPS position Z offset with negative values
ATC_RAT_RLL_FF,0.432304,Roll rate feed forward
ATC_RAT_RLL_FF,1000000000000000,Roll rate feed forward with large values
ATC_RAT_RLL_FF,-1,Roll rate feed forward with negative values
ATC_RATE_R_MAX,11,Roll rate maximum for flip mode failure
FS_THR_VALUE,995,Failsafe throttle value causes false PreArm error
FS_THR_VALUE,1000000000000000,Failsafe throttle value with large values
FS_THR_VALUE,-1,Failsafe throttle value with negative values
AHRS_TRIM_Z,1000000000000000,AHRS trim Z causes arithmetic exception with big values
AHRS_TRIM_Z,-1,AHRS trim Z causes arithmetic exception with negative values
BATT_AMP_OFFSET,1000000000000000,Battery amp offset causes arithmetic exception with big values
BATT_AMP_OFFSET,-1,Battery amp offset causes arithmetic exception with negative values
BATT_AMP_PERVLT,1000000000000000,Battery amp per volt causes arithmetic exception with big values
BATT_AMP_PERVLT,-1,Battery amp per volt causes arithmetic exception with negative values
BATT_VOLT_MULT,1000000000000000,Battery voltage multiplier causes arithmetic exception with big values
BATT_VOLT_MULT,-1,Battery voltage multiplier causes arithmetic exception with negative values
COMPASS_DIA2_Z,1000000000000000,Compass diameter 2 Z causes arithmetic exception with big values
COMPASS_DIA2_Z,-1,Compass diameter 2 Z causes arithmetic exception with negative values
COMPASS_DIA3_Z,1000000000000000,Compass diameter 3 Z causes arithmetic exception with big values
COMPASS_DIA3_Z,-1,Compass diameter 3 Z causes arithmetic exception with negative values
COMPASS_DIA_X,1000000000000000,Compass diameter X no valid range checking after takeoff
COMPASS_DIA_X,-1,Compass diameter X no valid range checking after takeoff with negative values
COMPASS_DIA_Y,1000000000000000,Compass diameter Y no valid range checking after takeoff
COMPASS_DIA_Y,-1,Compass diameter Y no valid range checking after takeoff with negative values
COMPASS_DIA_Z,1000000000000000,Compass diameter Z no valid range checking after takeoff
COMPASS_DIA_Z,-1,Compass diameter Z no valid range checking after takeoff with negative values
COMPASS_DIA2_X,1000000000000000,Compass diameter 2 X no valid range checking after takeoff
COMPASS_DIA2_X,-1,Compass diameter 2 X no valid range checking after takeoff with negative values
COMPASS_DIA2_Y,1000000000000000,Compass diameter 2 Y no valid range checking after takeoff
COMPASS_DIA2_Y,-1,Compass diameter 2 Y no valid range checking after takeoff with negative values
COMPASS_DIA3_X,1000000000000000,Compass diameter 3 X no valid range checking after takeoff
COMPASS_DIA3_X,-1,Compass diameter 3 X no valid range checking after takeoff with negative values
COMPASS_DIA3_Y,1000000000000000,Compass diameter 3 Y no valid range checking after takeoff
COMPASS_DIA3_Y,-1,Compass diameter 3 Y no valid range checking after takeoff with negative values
COMPASS_ODI2_X,1000000000000000,Compass ODI 2 X no valid range checking after takeoff
COMPASS_ODI2_X,-1,Compass ODI 2 X no valid range checking after takeoff with negative values
COMPASS_ODI2_Y,1000000000000000,Compass ODI 2 Y no valid range checking after takeoff
COMPASS_ODI2_Y,-1,Compass ODI 2 Y no valid range checking after takeoff with negative values
COMPASS_ODI2_Z,1000000000000000,Compass ODI 2 Z no valid range checking after takeoff
COMPASS_ODI2_Z,-1,Compass ODI 2 Z no valid range checking after takeoff with negative values
COMPASS_ODI3_X,1000000000000000,Compass ODI 3 X no valid range checking after takeoff
COMPASS_ODI3_X,-1,Compass ODI 3 X no valid range checking after takeoff with negative values
COMPASS_ODI3_Y,1000000000000000,Compass ODI 3 Y no valid range checking after takeoff
COMPASS_ODI3_Y,-1,Compass ODI 3 Y no valid range checking after takeoff with negative values
COMPASS_ODI3_Z,1000000000000000,Compass ODI 3 Z no valid range checking after takeoff
COMPASS_ODI3_Z,-1,Compass ODI 3 Z no valid range checking after takeoff with negative values
